,gem,comune,degurba,GEMI,GEMD,mean_fam_r_disp,median_fam_r_disp,count_fam_r_disp,year
53,054,Moso in Passiria/Moos in Passeier,3,Moso in Passiria,Moos in Passeier,36509.65091549296,27689.85,710,2019
54,055,Nalles/Nals,3,Nalles,Nals,42870.1606779661,31560.5,826,2019
55,056,Naturno/Naturns,3,Naturno,Naturns,39419.944262847515,31112.655,2374,2019
56,057,Naz-Sciaves/Natz-Schabs,3,Naz-Sciaves,Natz-Schabs,45928.016575342466,36792.85,1241,2019
57,058,Nova Levante/Welschnofen,3,Nova Levante,Welschnofen,45639.644959537574,31828.0,865,2019
58,059,Nova Ponente/Deutschnofen,3,Nova Ponente,Deutschnofen,45612.49095145631,33848.0,1545,2019
59,060,Ora/Auer,3,Ora,Auer,40227.87208281829,30613.0,1618,2019
60,061,Ortisei/St. Ulrich,2,Ortisei,St. Ulrich,48162.38095287416,33052.0,1931,2019
61,062,Parcines/Partschins,3,Parcines,Partschins,40183.80270588235,32083.5,1530,2019
62,063,Perca/Percha,3,Perca,Percha,45695.05573268921,36838.0,621,2019
63,064,Plaus/Plaus,3,Plaus,Plaus,40518.18555555555,32581.0,279,2019
64,065,Ponte Gardena/Waidbruck,3,Ponte Gardena,Waidbruck,37988.67301204819,23558.0,83,2019
65,066,Postal/Burgstall,3,Postal,Burgstall,43603.364501246884,34006.354999999996,802,2019
66,067,Prato allo Stelvio/Prad am Stilfserjoch,3,Prato allo Stelvio,Prad am Stilfserjoch,36478.538404401654,28786.364999999998,1454,2019
67,068,Predoi/Prettau,3,Predoi,Prettau,34243.4847368421,29320.370000000003,228,2019
68,069,Proves/Proveis,3,Proves,Proveis,41749.30021276596,29654.0,94,2019
69,070,Racines/Ratschings,3,Racines,Ratschings,44146.30561423651,35846.5,1742,2019
70,071,Rasun-Anterselva/Rasen-Antholz,3,Rasun-Anterselva,Rasen-Antholz,43265.657785714284,35523.0,1120,2019
71,072,Renon/Ritten,3,Renon,Ritten,45404.94809784358,33636.65,3107,2019
72,073,Rifiano/Riffian,3,Rifiano,Riffian,38628.13560836502,30324.675,526,2019
73,074,Rio di Pusteria/Mühlbach,3,Rio di Pusteria,Mühlbach,44031.56107535987,34740.5,1181,2019
74,075,Rodengo/Rodeneck,3,Rodengo,Rodeneck,42153.97449064449,32810.74,481,2019
75,076,Salorno sulla strada del vino/Salurn an der Weinstraße,3,Salorno sulla strada del vino,Salurn an der Weinstraße,34306.55676312248,25288.0,1486,2019
76,077,San Candido/Innichen,3,San Candido,Innichen,47618.80793023256,35443.1,1290,2019
